aar;Afar
pra;Prakrit languages
pro;Provençal
pus;Pushto; Pashto
que;Quechua
raj;Rajasthani
rap;Rapanui
rar;Rarotongan
roa;Romance languages
roh;Romansh
rom;Romany
ron;Romanian
run;Rundi
rup;Aromanian
rus;Russian
sad;Sandawe
sag;Sango
sah;Yakut
sai;South American Indian languages
sal;Salishan languages
sam;Samaritan Aramaic
san;Sanskrit
sas;Sasak
sat;Santali
scn;Sicilian
sco;Scots
sel;Selkup
sem;Semitic languages
sga;Irish
sgn;Sign Languages
shn;Shan
sid;Sidamo
sin;Sinhala; Sinhalese
sio;Siouan languages
sit;Sino-Tibetan languages
sla;Slavic languages
slk;Slovak
slv;Slovenian
sma;Southern Sami
sme;Northern Sami
smi;Sami languages
smj;Lule Sami
smn;Inari Sami
smo;Samoan
sms;Skolt Sami
sna;Shona
snd;Sindhi
snk;Soninke
sog;Sogdian
som;Somali
son;Songhai languages
sot;Sotho
spa;Spanish; Castilian
srd;Sardinian
srn;Sranan Tongo
srp;Serbian
srr;Serer
ssa;Nilo-Saharan languages
ssw;Swati
suk;Sukuma
sun;Sundanese
sus;Susu
sux;Sumerian
swa;Swahili
swe;Swedish
syc;Classical Syriac
syr;Syriac
tah;Tahitian
tai;Tai languages
tam;Tamil
tat;Tatar
tel;Telugu
tem;Timne
ter;Tereno
tet;Tetum
tgk;Tajik
tgl;Tagalog
tha;Thai
tig;Tigre
tir;Tigrinya
tiv;Tiv
tkl;Tokelau
tlh;Klingon
tli;Tlingit
tmh;Tamashek
tog;Tonga (Nyasa)
ton;Tonga (Tonga Islands)
tpi;Tok Pisin
tsi;Tsimshian
tsn;Tswana
tso;Tsonga
tuk;Turkmen
tum;Tumbuka
tup;Tupi languages
tur;Turkish
tut;Altaic languages
tvl;Tuvalu
twi;Twi
tyv;Tuvinian
udm;Udmurt
uga;Ugaritic
uig;Uighur
ukr;Ukrainian
umb;Umbundu
und;Undetermined
urd;Urdu
uzb;Uzbek
vai;Vai
ven;Venda
vie;Vietnamese
vol;Volapük
vot;Votic
wak;Wakashan languages
wal;Wolaitta
war;Waray
was;Washo
wen;Sorbian languages
wln;Walloon
wol;Wolof
xal;Kalmyk
xho;Xhosa
yao;Yao
yap;Yapese
yid;Yiddish
yor;Yoruba
ypk;Yupik languages
zap;Zapotec
zbl;Blissymbols
zen;Zenaga
zgh;Standard Moroccan Tamazight
zha;Zhuang
znd;Zande languages
zul;Zulu
zun;Zuni
zxx;Not applicable
zza;Zaza
sqi;Albanian
hye;Armenian
eus;Basque
bod;Tibetan
mya;Burmese
ces;Czech
zho;Chinese
cym;Welsh
deu;German
nld;Dutch
ell;Greek
fas;Persian
fra;French
kat;Georgian
isl;Icelandic
mkd;Macedonian
mri;Maori
msa;Malay
ron;Romanian
slk;Slovak
